fecha,dim,clave,in,out,net,aum
2026-07-06,bucket,Renta Variable,6848260648.03,-1745017873.96,5103242774.07,2067567364429.34
2026-07-06,gestora,BAVSA Fondos S.A.,628859156.44,-5620452807.86,-4991593651.42,220417529550.42
2026-07-06,tipo_ger,Independiente,963256195124.63,-430334636584.60,532921558540.04,39004411673819.88
2026-07-06,gestora,StoneX Asset Management S.A.,32143972695.42,-6010150020.85,26133822674.57,723697574256.66
2026-07-06,gestora,Mariva Asset Management S.A.U.S.G.F.C.I.,5317076194.82,-20439851643.75,-15122775448.92,399005436980.08
2026-07-06,tipo_ger,Bancaria,175681204881.93,-711942415656.54,-536261210774.61,45738403946048.78
2026-07-06,gestora,Novus Asset Management S.A.,129596161.52,-1405363009.35,-1275766847.83,246642053487.99
2026-07-06,gestora,SBS Asset Management S.A.S.G.F.C.I.,1703981257.72,-47361499726.38,-45657518468.65,1434392904148.66
2026-07-06,gestora,Proahorro Administradora de Activos S.A.,253715231.90,-67511412633.74,-67257697401.85,1784743934977.16
2026-07-06,gestora,Provinfondos S.A.S.G.F.C.I.,634703285.25,-77073737993.41,-76439034708.16,2120392477900.59
2026-07-06,gestora,Adcap Asset Management S.G.F.C.I.S.A.,50032792490.19,-55312432124.90,-5279639634.71,1873124878605.10
2026-07-06,gestora,Allaria Fondos Administrados S.G.F.C.I.S.A.,64949096902.75,-27502645373.28,37446451529.47,2414618321170.20
2026-07-06,gestora,ICBC Investments Argentina S.A.U.S.G.F.C.I.,5669504989.30,-104271298225.14,-98601793235.83,2791206409633.51
2026-07-06,gestora,Argenfunds S.A.,327392025.28,-2535322855.40,-2207930830.12,742194946574.66
2026-07-06,gestora,Mercofond S.G.F.C.I.S.A.,0.00,0.00,0.00,3036864013.02
2026-07-06,gestora,Balanz S.G.F.C.I.S.A.U.,265067065963.06,-27041663063.86,238025402899.20,3758227237468.09
2026-07-06,gestora,Bull Market Asset Management S.A.,75150026.37,-8074401833.21,-7999251806.84,685290211308.99
2026-07-06,gestora,Bancor Fondos S.G.F.C.I.S.A.U.,10861575757.29,-21937025375.88,-11075449618.58,701167647664.54
2026-07-06,gestora,Chimpay S.A.,0.00,-21395758.82,-21395758.82,48253323519.62
2026-07-06,gestora,IEB S.A.,22195502422.09,-2750171264.41,19445331157.67,577270426258.76
2026-07-06,gestora,Capital Markets Argentina Asset Management S.A.,579131.56,-848612753.87,-848033622.31,27346788520.93
2026-07-06,gestora,Cocos Asset Management S.A.,10402012295.92,-3406879832.65,6995132463.28,968073066153.74
2026-07-06,gestora,Investis Asset Management S.A.S.G.F.C.I.,6709511774.82,-18930588167.43,-12221076392.61,1821720578496.52
2026-07-06,gestora,One618 Asset Management S.G.F.C.I.S.A.,28616575165.53,-32692484496.90,-4075909331.37,1866281031972.36
2026-07-06,gestora,Ciudad Administradora de Activos S.A.U.,209807897.14,-7851286139.60,-7641478242.46,470859461704.82
2026-07-06,gestora,Delta Asset Management S.A.,57131701755.45,-102086937765.92,-44955236010.47,2627517115728.07
2026-07-06,gestora,Dracma Asset Management S.A.,91646050.20,0.00,91646050.20,68607606458.90
2026-07-06,gestora,BBVA Asset Management Argentina S.A.U.S.G.F.C.I.,7641447946.44,-135851820788.88,-128210372842.44,4196174528210.05
2026-07-06,gestora,Galicia Asset Management S.A.U.,6361162607.63,-3406217796.50,2954944811.13,12042718244397.71
2026-07-06,gestora,Industrial Asset Management S.G.F.C.I.S.A.,2727407818.09,-26976981928.67,-24249574110.57,917254669125.30
2026-07-06,gestora,Tutelar Inversora S.A.,0.00,0.00,0.00,6304684161.91
2026-07-06,gestora,Patagonia Inversora S.A.S.G.F.C.I,1829796728.60,-46246700583.57,-44416903854.96,1877367349784.68
2026-07-06,gestora,Max Capital Asset Management S.A.,39562739885.53,-1619197984.09,37943541901.45,1025935955618.33
2026-07-06,gestora,MEGA QM S.A.,2538082425.48,-2111417921.36,426664504.12,1463477598173.03
2026-07-06,gestora,SAM Argentina S.G.F.C.I.S.A.U.,21596582.68,0.00,21596582.68,94542521315.43
2026-07-06,gestora,Parakeet S.G.F.C.I.S.A.,3022517938.28,-194452234.31,2828065703.96,166357693252.68
2026-07-06,gestora,Pellegrini S.A.S.G.F.C.I.,2745369762.81,-69859340224.24,-67113970461.43,3488310252731.30
2026-07-06,gestora,Macro Fondos S.G.F.C.I.S.A.,53451851375.66,-55406181353.44,-1954329977.78,5289676288767.89
2026-07-06,gestora,Supervielle Asset Management S.A.,1122280949.74,-871446009.56,250834940.18,1187107291932.53
2026-07-06,gestora,Quiron Asset Management S.A.,0.00,0.00,0.00,27280545657.74
2026-07-06,gestora,Schroder S.A.S.G.F.C.I.,169156794239.06,-1223842935.45,167932951303.61,2319153891531.41
2026-07-06,gestora,Santander Asset Management G.F.C.I.S.A.,77109219569.14,-141750527593.90,-64641308024.77,10257163887215.77
2026-07-06,gestora,Ualá Fondos S.A.U.,22670445326.31,-380828800.74,22289616525.57,227391854292.48
2026-07-06,gestora,Valiant Asset Management S.G.F.C.I.S.A.U.,111331946.91,-49845409.96,61486536.95,76562929598.13
2026-07-06,gestora,Wise Capital Asset Management S.A.,1477574245.28,-3334342508.57,-1856768263.29,78508100753.62
2026-07-06,gestora,Puente Asset Management S.A.,2836817463.29,0.00,2836817463.29,5263427587.02
2026-07-06,gestora,First Capital Markets S.A.,600160393.03,-991896365.82,-391735972.79,135543663923.52
2026-07-06,gestora,Cohen S.A.,0.00,0.00,0.00,9176245.87
2026-07-06,gestora,Mercado Pago Asset Managemet S.A.,106568592417.49,0.00,106568592417.49,9513464551189.92
2026-07-06,bucket,Renta Variable USD,1697462.21,-164282.12,1533180.09,280757555.46
2026-07-06,bucket,Renta Fija ARS T+1,234538942666.85,-74554900378.52,159984042288.33,16681165536123.38
2026-07-06,bucket,Renta Fija ARS,65247260522.81,-43084059100.16,22163201422.66,3711399699709.49
2026-07-06,gestora,Nuevo Chaco Fondos S.A.S.G.F.C.I.,3803881158.12,-153508869.66,3650372288.46,109083796697.63
2026-07-06,gestora,Cono Sur S.G.F.C.I.S.A.,400299158.70,-521350813.94,-121051655.24,61232904875.64
2026-07-06,gestora,CMF Asset Management S.A.U.,4165600916.02,-900739778.50,3264861137.52,313574250781.95
2026-07-06,gestora,Nativa S.G.F.C.I.S.A.,0.00,0.00,0.00,14012489.60
2026-07-06,gestora,Grupo SS S.A.S.G.F.C.I.,119110530.10,-4152437.09,114958093.02,216223952953.99
2026-07-06,gestora,Mills Asset Management S.A.,14991316.74,-25913224.13,-10921907.39,46994725025.72
2026-07-06,gestora,Tandem Capital S.A.,1000.01,-2158818089.34,-2158817089.34,32513801264.02
2026-07-06,gestora,Zofingen Investment S.A.,56450141414.57,-421307883.01,56028833531.56,591808929391.14
2026-07-06,gestora,C y C Administradora de Fondos S.A.,1864222609.92,-13108148.08,1851114461.84,61051189921.76
2026-07-06,bucket,Renta Fija USD,33627664.33,-3407232.00,30220432.34,7463201399.74
2026-07-06,gestora,Axis S.G.F.C.I.S.A.,1088000550.91,-6159953459.52,-5071952908.61,413122337389.81
2026-07-06,bucket,Renta Mixta,37176001450.08,-32130838597.91,5045162852.17,4644939159904.11
2026-07-06,gestora,Blacktoro Asset Management S.A.,323997647.46,0.00,323997647.46,3558873501.04
2026-07-06,gestora,GMC Asset Management S.A.U.,0.00,0.00,0.00,91434434082.48
2026-07-06,bucket,Renta Mixta USD,1092732.87,-217012.89,875719.97,882202994.93
2026-07-06,bucket,PyMEs,342295178.03,-6437985349.61,-6095690171.58,2013388613664.25
2026-07-06,bucket,PyMEs USD,0.00,0.00,0.00,0.00
2026-07-06,bucket,Infraestructura,1275769078.03,-574721951.58,701047126.45,966936582446.76
2026-07-06,bucket,Infraestructura USD,0.00,0.00,0.00,63494658.05
2026-07-06,bucket,Retorno Total,8697492251.24,-338436087.22,8359056164.02,1516751193124.64
2026-07-06,bucket,Retorno Total USD,1685875.32,-553154.72,1132720.60,451135405.19
2026-07-06,bucket,ASG,129999.96,-92483704.55,-92353704.59,22149856860.05
